ticker,name,last_close,ma240,ma240_change_pct
1590.TW,亞德客-KY,1490.0,941.8208333333333,1.246108709771332
2495.TW,普安,40.95000076293945,27.136666655540466,1.242052507965008
6456.TW,GIS-KY,79.0,50.403125047683716,1.237352378157297
2464.TW,盟立,114.5,65.84166669845581,1.234520425748653
3036.TW,文曄,203.0,151.81666666666666,1.2322011530179866
6282.TW,康舒,48.0,37.283124987284346,1.223443987215589
2303.TW,聯電,74.5,50.328958400090535,1.2154449714666837
2885.TW,元大金,52.29999923706055,37.18144799868266,1.2097651980305768
3661.TW,世芯-KY,4005.0,3335.7708333333335,1.1893702404651263
2855.TW,統一證,35.099998474121094,24.568181610107423,1.1873049763218013
2355.TW,敬鵬,50.79999923706055,36.371250081062314,1.179388823919214
2436.TW,偉詮電,70.30000305175781,52.16104168891907,1.1759334025430501
8112.TW,至上,84.69999694824219,61.59499998092652,1.1682099138750068
6271.TW,同欣電,173.0,126.29791666666667,1.1614130525472666
6405.TW,悅城,46.29999923706055,27.85020836194356,1.157766522386261
5434.TW,崇越,408.0,306.8979166666667,1.148044136529358
3338.TW,泰碩,76.5999984741211,55.772083361943565,1.1382997944701767
2476.TW,鉅祥,114.0,88.36374994913737,1.1258297026129904
2329.TW,華泰,56.900001525878906,47.4212500333786,1.0903018811886378
5469.TW,瀚宇博,84.19999694824219,82.42291680971782,1.090292083669575
2301.TW,光寶科,172.0,146.27375001907347,1.0797363714251995
3437.TW,榮創,25.049999237060547,16.217291676998137,1.0764276818360674
2492.TW,華新科,134.5,107.40583337148031,1.0743665546618875
3305.TW,昇貿,106.5,95.94999993642172,1.0571770945110304
1809.TW,中釉,26.450000762939453,20.02708334128062,1.0469443340219264
3605.TW,宏致,82.5,63.77830193837484,1.0316496539116038
6278.TW,台表科,161.5,105.2795833269755,1.0203143181152674
8261.TW,富鼎,119.0,91.72916682561238,1.0145040849890652
8499.TW,鼎炫-KY,260.0,259.84791666666666,1.0017005425540626
4755.TW,三福化,156.0,120.75624993642171,0.9931524755685928
2441.TW,超豐,87.9000015258789,72.73000005086263,0.9799951710264265
1773.TW,勝一,172.0,138.9944444656372,0.9565938745197844
3055.TW,蔚華科,79.4000015258789,62.2335416952769,0.9557508543461601
2374.TW,佳能,75.0,69.70675781567891,0.9493821465152097
2338.TW,光罩,47.349998474121094,37.67766162554423,0.9325724673218128
3450.TW,聯鈞,302.0,241.89375,0.931874092683227
8162.TW,微矽電子-創,53.5,38.19062504768372,0.9316000545447789
4540.TW,全球傳動,63.5,41.7887500445048,0.9288517573791122
6153.TW,嘉聯益,17.75,14.86104166507721,0.9281661154546317
6191.TW,精成科,102.5,105.38708345095317,0.9261476018265657
3702.TW,大聯大,102.0,69.6416664759318,0.9220290517180096
2305.TW,全友,16.25,12.063958323001861,0.9219561780763996
3706.TW,神達,81.19999694824219,78.42128764788309,0.9114247857863189
6168.TW,宏齊,26.950000762939453,19.885208292802176,0.9113303603735634
1597.TW,直得,130.5,82.83958349227905,0.9064655361114449
6225.TW,天瀚,20.149999618530273,15.884374952316284,0.8958818421870296
6937.TW,天虹,301.0,231.01875,0.8916467259278305
2890.TW,永豐金,31.899999618530273,26.817909240722656,0.8907574945705043
7711.TW,永擎,415.0,338.16041666666666,0.8900767629051787
6224.TW,聚鼎,66.80000305175781,44.53749993642171,0.8895916169140872
2421.TW,建準,146.5,134.37088317871093,0.8859465385924192
2236.TW,百達-KY,132.0,102.7153195699056,0.8777064562953685
6449.TW,鈺邦,162.5,153.56833333969115,0.8722497500070148
4934.TW,太極,15.649999618530273,13.737916664282482,0.8703899400229753
